ID,Rt,MS1Mass,ACCESSION,RefMatchFrag,UsrMatchFrag,MS1Error,MS2Error,MS2ErrorStd,DirectMatch,ReversMatch,Probability,FinalScore,SpecType,MatchedFrags,Inchikey,FragMZ,FragInt
225,5.618000030517578,263.18648041992185,EA256703,1.0--3,1.0--7,0.002,0,0.001,0.57,0.62,0.48358282,4.56,MS2,[58.0652],TVYLLZQTGLZFBW-ZBFHGGJFSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,MSBNK-Env_Anal_Chem_U_Tuebingen-TUE00731,1.0--3,1.0--7,0.002,0,0.001,0.55,0.63,0.48358282,4.55,EXP,[58.0652],TVYLLZQTGLZFBW-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,TUE00731,1.0--3,1.0--7,0.002,0,0.001,0.55,0.63,0.48358282,4.55,MS2,[58.0652],TVYLLZQTGLZFBW-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,MSBNK-Eawag-EA105302,1.0--3,1.0--7,0.002,0,0.001,0.43,0.6,0.48358282,4.39,EXP,[58.065],KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,MoNA-EA105302,1.0--3,1.0--7,0.002,0,0.001,0.43,0.6,0.48358282,4.39,EXP,[58.065],KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
225,5.618000030517578,263.18648041992185,EA105302,1.0--3,1.0--7,0.002,0,0.001,0.43,0.6,0.48358282,4.39,MS2,[58.065],KYYIDSXMWOZKMP-UHFFFAOYSA-N,"[223.15460205078125, 265.1991882324219, 59.070655822753906, 59.06218338012695, 58.17829132080078, 58.06633758544922, 56.050838470458984]","[4783.0, 22706.0, 1194.3333740234375, 332.3333435058594, 188.6666717529297, 28426.666015625, 271.3333435058594]"
275,12.809000015258789,645.0218991210937,MSV000094528,4.0--18,4.0--6,0.002,0.001,0.002,0.99,0.77,0.4834905,5.51,EXP,"[58.06232, 73.088553, 100.111861, 646.03114]",IYIKLHRQXLHMJQ-UHFFFAOYSA-N,"[647.037109375, 646.0361328125, 645.95703125, 100.11512756347656, 73.08757019042969, 58.06583786010742]","[9368.0, 12752.6669921875, 199.0, 2102.0, 1058.3333740234375, 1178.0]"
130,1.0160000324249268,292.0933712890625,MSBNK-CASMI_2016-SM818301,1.0--35,1.0--3,0.004,0,0.001,0.83,0.29,0.48273033,4.2,EXP,[293.1053],OWEGWHBOCFMBLP-UHFFFAOYSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
130,1.0160000324249268,292.0933712890625,MoNA-SM818301,1.0--35,1.0--3,0.004,0,0.001,0.83,0.29,0.48273033,4.2,EXP,[293.1053],OWEGWHBOCFMBLP-UHFFFAOYSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
130,1.0160000324249268,292.0933712890625,SM818301,1.0--35,1.0--3,0.004,0,0.001,0.83,0.29,0.48273033,4.2,MS2,[293.1053],OWEGWHBOCFMBLP-UHFFFAOYSA-N,"[293.1095886230469, 293.10089111328125, 293.097412109375]","[6178.0, 5121.0, 4127.0]"
283,13.479999542236328,384.2269772460937,MSV000094528,1.0--16,1.0--3,0.006,0,0.001,0.67,0.66,0.4775722,4.49,EXP,[386.242462],QWSFNUPVXLZSJQ-UHFFFAOYSA-N,"[386.239013671875, 253.21519470214844, 327.231689453125]","[10626.0, 6853.0, 6392.0]"
